chrom	start	end	sample	p-value	src_sample	hap_index	hap_S*_start	hap_S*_end	hap_S*_SNP_num	hap_SNV_num	hap_len	hap_mapped_len	hap_match_num	hap_tot_num	sfs	hap_S*_match(%)	hap_num_match_ref
ms1	NA	NA	0	0.00643278598775	src1	1	NA	NA	32	NA	46395	46000	35	59	216	0.322033898305	796388
ms1	NA	NA	1	0.00643278598775	src1	2	NA	NA	32	NA	46395	46000	35	59	216	0.322033898305	796388
ms1	NA	NA	2	0.00615835300419	src1	1	NA	NA	12	NA	17055	17000	12	13	108	0.461538461538	2337637
ms1	NA	NA	3	0.456339352186	src1	1	NA	NA	0	NA	24980	24000	32	54	108	0.111111111111	1216953
ms1	NA	NA	4	0.0334314230496	src1	2	NA	NA	1	NA	31545	31000	30	54	108	0.277777777778	1487073
ms1	NA	NA	5	0.0765479736374	src1	2	NA	NA	24	NA	44490	44000	39	65	108	0.207692307692	1046480
ms1	NA	NA	6	0.000189852784671	src1	1	NA	NA	20	NA	35285	35000	29	33	216	0.545454545455	1322076
ms1	NA	NA	7	0.000904151800195	src1	2	NA	NA	25	NA	45615	45000	41	56	108	0.410714285714	986559
ms1	NA	NA	8	0.0105582970166	src1	1	NA	NA	29	NA	43340	43000	31	55	108	0.318181818182	960760
ms1	NA	NA	9	0.0235294952189	src1	2	NA	NA	14	NA	41110	41000	15	24	108	0.229166666667	281943
ms1	NA	NA	10	0.119490429376	src1	1	NA	NA	14	NA	26740	26000	29	47	216	0.212765957447	1561078
ms1	NA	NA	11	0.848411114256	src1	2	NA	NA	1	NA	35820	35000	21	42	108	0.0238095238095	1063606
ms1	NA	NA	12	0.63280447733	src1	2	NA	NA	7	NA	21130	21000	30	53	216	0.0754716981132	1042942
ms10	NA	NA	13	0.011303242233	src1	1	NA	NA	38	NA	31185	31000	45	66	216	0.378787878788	615840
ms10	NA	NA	14	0.00794285472982	src1	2	NA	NA	35	NA	31185	31000	43	64	216	0.390625	757787
ms10	NA	NA	15	0.13409780437	src1	2	NA	NA	25	NA	42655	42000	42	72	108	0.180555555556	1135163
ms10	NA	NA	16	0.0132724251339	src1	1	NA	NA	22	NA	41640	41000	42	80	108	0.30625	1152991
ms10	NA	NA	17	0.0359728606929	src1	2	NA	NA	16	NA	48170	48000	30	44	108	0.25	316293
ms10	NA	NA	18	0.00229700945283	src1	2	NA	NA	47	NA	45275	45000	56	80	108	0.3875	766648
ms10	NA	NA	19	0.456608476684	src1	2	NA	NA	7	NA	18030	18000	21	39	108	0.102564102564	2000286
ms10	NA	NA	20	0.550427919256	src1	1	NA	NA	14	NA	45490	45000	41	73	108	0.0821917808219	994696
ms10	NA	NA	21	0.0855011569256	src1	2	NA	NA	22	NA	48400	48000	54	88	216	0.204545454545	413163
ms10	NA	NA	22	0.00900418666004	src1	1	NA	NA	4	NA	36500	36000	16	25	108	0.32	627707
ms10	NA	NA	23	0.348080979735	src1	1	NA	NA	13	NA	32430	32000	42	92	216	0.135869565217	914450
ms10	NA	NA	24	0.178863545171	src1	2	NA	NA	17	NA	49690	49000	56	106	108	0.169811320755	32398
ms10	NA	NA	25	0.00420408601381	src1	1	NA	NA	28	NA	44685	44000	45	60	108	0.35	1062061
ms10	NA	NA	26	0.809317436878	src1	1	NA	NA	1	NA	39615	39000	35	77	216	0.038961038961	1214861
ms10	NA	NA	27	0.809317436878	src1	2	NA	NA	1	NA	39615	39000	35	77	216	0.038961038961	1214861
ms10	NA	NA	28	0.0182070154038	src1	2	NA	NA	25	NA	46250	46000	41	72	216	0.277777777778	921457
ms10	NA	NA	29	0.0120934479041	src1	1	NA	NA	13	NA	41625	41000	22	29	108	0.310344827586	806138
ms10	NA	NA	30	0.00180452594616	src1	2	NA	NA	16	NA	38205	38000	45	63	108	0.412698412698	1025199
ms100	NA	NA	31	0.101210696981	src1	1	NA	NA	7	NA	41330	41000	48	87	216	0.206896551724	997028
ms100	NA	NA	32	0.14573046243	src1	2	NA	NA	7	NA	22145	22000	33	50	216	0.24	812101
ms100	NA	NA	33	0.267144982227	src1	2	NA	NA	20	NA	42055	42000	54	101	216	0.153465346535	748877
ms100	NA	NA	34	0.182177126528	src1	1	NA	NA	7	NA	32275	32000	33	58	108	0.172413793103	1411713
ms100	NA	NA	35	0.153070866142	src1	1	NA	NA	15	NA	49070	49000	76	120	108	0.208333333333	34924
ms100	NA	NA	36	0.00299917683691	src1	2	NA	NA	2	NA	45100	45000	25	40	108	0.375	698524
ms100	NA	NA	37	0.827786314609	src1	2	NA	NA	1	NA	37835	37000	40	77	216	0.038961038961	1214345
ms100	NA	NA	38	8.46258362678e-05	src1	2	NA	NA	33	NA	48780	48000	37	47	108	0.510638297872	212700
ms100	NA	NA	39	0.0182874896728	src1	1	NA	NA	23	NA	48475	48000	60	92	216	0.29347826087	313492
ms100	NA	NA	40	0.0182874896728	src1	2	NA	NA	23	NA	48475	48000	60	92	216	0.29347826087	313492
ms100	NA	NA	41	0.0680970370496	src1	2	NA	NA	18	NA	47960	47000	45	77	108	0.207792207792	590289
