chrom	start	end	sample	p-value	src_sample	hap_index	hap_S*_start	hap_S*_end	hap_S*_SNP_num	hap_SNV_num	hap_len	hap_mapped_len	hap_match_num	hap_tot_num	sfs	hap_S*_match(%)	hap_num_match_ref
ms1	NA	NA	0	0.0105777392157	src1	1	NA	NA	28	NA	46395	46000	35	56	216	0.294642857143	795254
ms1	NA	NA	1	0.0105777392157	src1	2	NA	NA	27	NA	46395	46000	35	56	216	0.294642857143	795254
ms1	NA	NA	2	0.00610372513885	src1	1	NA	NA	11	NA	17055	17000	12	13	108	0.461538461538	2330543
ms1	NA	NA	3	0.084546118717	src1	1	NA	NA	15	NA	24980	24000	32	47	108	0.255319148936	1216826
ms1	NA	NA	4	0.0202515294666	src1	2	NA	NA	12	NA	31545	31000	30	52	108	0.307692307692	1487936
ms1	NA	NA	5	0.246233903282	src1	2	NA	NA	15	NA	44490	44000	39	72	108	0.138888888889	1046175
ms1	NA	NA	6	0.00304848961196	src1	1	NA	NA	12	NA	35285	35000	29	44	216	0.386363636364	1320653
ms1	NA	NA	7	0.00539357698903	src1	2	NA	NA	19	NA	45615	45000	41	64	108	0.328125	986172
ms1	NA	NA	8	0.0225895955447	src1	1	NA	NA	14	NA	43340	43000	31	59	108	0.271186440678	957608
ms1	NA	NA	9	0.0838762978211	src1	2	NA	NA	12	NA	41110	41000	15	23	108	0.173913043478	288078
ms1	NA	NA	10	0.380743534041	src1	1	NA	NA	12	NA	26740	26000	29	51	216	0.117647058824	1561407
ms1	NA	NA	11	0.0392292963817	src1	2	NA	NA	20	NA	35820	35000	21	36	108	0.263888888889	1061782
ms1	NA	NA	12	0.00376846114458	src1	2	NA	NA	13	NA	21130	21000	30	40	216	0.475	1042865
ms10	NA	NA	13	0.0280786761518	src1	1	NA	NA	24	NA	31185	31000	45	71	216	0.323943661972	615840
ms10	NA	NA	14	0.0216696490311	src1	2	NA	NA	22	NA	31185	31000	43	69	216	0.333333333333	757787
ms10	NA	NA	15	0.0211407400228	src1	2	NA	NA	35	NA	42655	42000	42	63	108	0.277777777778	1134964
ms10	NA	NA	16	0.0179473212164	src1	1	NA	NA	18	NA	41640	41000	42	73	108	0.287671232877	1152873
ms10	NA	NA	17	0.0895912962111	src1	2	NA	NA	11	NA	48170	48000	30	55	108	0.2	315264
ms10	NA	NA	18	0.00202309009729	src1	2	NA	NA	47	NA	45275	45000	56	81	108	0.382716049383	766648
ms10	NA	NA	19	0.254484344171	src1	2	NA	NA	11	NA	18030	18000	21	39	108	0.166666666667	1999957
ms10	NA	NA	20	0.507205405085	src1	1	NA	NA	19	NA	45490	45000	41	79	108	0.0886075949367	994322
ms10	NA	NA	21	0.155598315423	src1	2	NA	NA	15	NA	48400	48000	54	87	216	0.172413793103	413159
ms10	NA	NA	22	0.0357486876651	src1	1	NA	NA	11	NA	36500	36000	16	28	108	0.25	628078
ms10	NA	NA	23	0.116013870617	src1	1	NA	NA	13	NA	32430	32000	42	73	216	0.219178082192	914450
ms10	NA	NA	24	0.154480076546	src1	2	NA	NA	22	NA	49690	49000	56	105	108	0.17619047619	32398
ms10	NA	NA	25	0.0109311127078	src1	1	NA	NA	26	NA	44685	44000	45	66	108	0.30303030303	1061922
ms10	NA	NA	26	0.314477328337	src1	1	NA	NA	11	NA	39615	39000	35	77	216	0.123376623377	1214643
ms10	NA	NA	27	0.314477328337	src1	2	NA	NA	11	NA	39615	39000	35	77	216	0.123376623377	1214643
ms10	NA	NA	28	0.0439987670186	src1	2	NA	NA	19	NA	46250	46000	41	69	216	0.231884057971	921343
ms10	NA	NA	29	0.025577247982	src1	1	NA	NA	13	NA	41625	41000	22	37	108	0.27027027027	809703
ms10	NA	NA	30	0.00164650960448	src1	2	NA	NA	19	NA	38205	38000	45	73	108	0.397260273973	1025198
ms100	NA	NA	31	0.117626586214	src1	1	NA	NA	13	NA	41330	41000	48	107	216	0.196261682243	997027
ms100	NA	NA	32	0.177645828895	src1	2	NA	NA	13	NA	22145	22000	33	62	216	0.217741935484	812098
ms100	NA	NA	33	0.1210517601	src1	2	NA	NA	20	NA	42055	42000	54	93	216	0.204301075269	748877
ms100	NA	NA	34	0.012152113602	src1	1	NA	NA	27	NA	32275	32000	33	51	108	0.333333333333	1411523
ms100	NA	NA	35	0.025798138869	src1	1	NA	NA	45	NA	49070	49000	76	115	108	0.304347826087	34924
ms100	NA	NA	36	0.00438839913781	src1	2	NA	NA	13	NA	45100	45000	25	42	108	0.357142857143	697292
ms100	NA	NA	37	0.390825317873	src1	2	NA	NA	13	NA	37835	37000	40	84	216	0.113095238095	1214319
ms100	NA	NA	38	0.0339491092235	src1	2	NA	NA	25	NA	48780	48000	37	69	108	0.239130434783	212847
ms100	NA	NA	39	0.0376308242927	src1	1	NA	NA	27	NA	48475	48000	60	91	216	0.252747252747	313492
ms100	NA	NA	40	0.0376308242927	src1	2	NA	NA	27	NA	48475	48000	60	91	216	0.252747252747	313492
ms100	NA	NA	41	0.0353308102284	src1	2	NA	NA	33	NA	47960	47000	45	79	108	0.240506329114	590277
ms100	NA	NA	42	0.220047481442	src1	2	NA	NA	12	NA	48570	48000	27	47	108	0.148936170213	186177
ms100	NA	NA	43	0.00236278346667	src1	2	NA	NA	27	NA	48595	48000	36	51	108	0.352941176471	259862
ms100	NA	NA	44	0.0898979248662	src1	1	NA	NA	13	NA	43669	43000	41	77	216	0.201298701299	1100169
ms100	NA	NA	45	0.146893533576	src1	2	NA	NA	15	NA	49139	49000	51	90	216	0.172222222222	167263
ms100	NA	NA	46	0.0351229191719	src1	2	NA	NA	18	NA	32025	32000	17	26	108	0.269230769231	1041171
ms100	NA	NA	47	0.0159261298657	src1	2	NA	NA	41	NA	49585	49000	45	73	108	0.27397260274	47217
ms100	NA	NA	48	0.00387437093269	src1	2	NA	NA	36	NA	46095	46000	44	61	108	0.344262295082	965317
ms100	NA	NA	49	0.00311353020397	src1	2	NA	NA	21	NA	20185	20000	21	27	108	0.481481481481	2054580
ms100	NA	NA	50	0.00765656095997	src1	1	NA	NA	13	NA	41095	41000	41	67	216	0.328358208955	1174286
ms100	NA	NA	51	0.00765656095997	src1	2	NA	NA	13	NA	41095	41000	41	67	216	0.328358208955	1174286
ms100	NA	NA	52	0.0332416183567	src1	2	NA	NA	16	NA	42690	42000	25	50	108	0.26	856275
ms1000	NA	NA	53	0.0090779699903	src1	2	NA	NA	34	NA	24260	24000	38	52	108	0.423076923077	564883
ms1000	NA	NA	54	0.348013322181	src1	1	NA	NA	19	NA	48125	48000	53	94	216	0.122340425532	523637
ms1000	NA	NA	55	0.361214606151	src1	2	NA	NA	20	NA	48125	48000	54	95	216	0.121052631579	515590
ms1000	NA	NA	56	0.0127980332223	src1	1	NA	NA	29	NA	25630	25000	35	52	216	0.384615384615	972961
ms1000	NA	NA	57	0.0176905805946	src1	2	NA	NA	23	NA	47605	47000	60	97	216	0.288659793814	530903
ms1000	NA	NA	58	0.370197603044	src1	2	NA	NA	13	NA	34525	34000	35	52	108	0.115384615385	1343703
ms1000	NA	NA	59	0.0833631179003	src1	2	NA	NA	24	NA	49280	49000	54	103	108	0.203883495146	128701
ms1000	NA	NA	60	0.307260989929	src1	2	NA	NA	19	NA	44670	44000	54	95	108	0.136842105263	838039
ms1000	NA	NA	61	0.00110421596511	src1	2	NA	NA	41	NA	46050	46000	43	64	108	0.3984375	962673
ms1000	NA	NA	62	0.0407149773588	src1	1	NA	NA	20	NA	44715	44000	30	53	108	0.245283018868	842711
ms1000	NA	NA	63	0.000549744228488	src1	2	NA	NA	19	NA	36925	36000	30	41	108	0.463414634146	1246033
ms1000	NA	NA	64	0.190486654305	src1	1	NA	NA	12	NA	44685	44000	27	44	108	0.159090909091	778190
ms1000	NA	NA	65	0.086472772412	src1	1	NA	NA	15	NA	24780	24000	23	37	108	0.22972972973	1836739
ms1000	NA	NA	66	0.0952467379131	src1	2	NA	NA	20	NA	20940	20000	26	55	216	0.254545454545	1548241
ms1000	NA	NA	67	0.00036099107568	src1	2	NA	NA	17	NA	35515	35000	39	56	108	0.482142857143	1224406
ms1000	NA	NA	68	0.0632259344918	src1	1	NA	NA	15	NA	42385	42000	48	88	216	0.227272727273	1017825
ms1000	NA	NA	69	0.0848931386008	src1	2	NA	NA	24	NA	44855	44000	53	97	216	0.211340206186	879222
ms1000	NA	NA	70	0.00226483324813	src1	2	NA	NA	11	NA	48120	48000	52	80	216	0.35	532047
ms1000	NA	NA	71	0.242189957257	src1	1	NA	NA	11	NA	41945	41000	45	75	108	0.146666666667	1100057
ms1000	NA	NA	72	0.190810976983	src1	1	NA	NA	21	NA	44305	44000	34	55	108	0.154545454545	972616
ms1000	NA	NA	73	0.00359212968257	src1	2	NA	NA	15	NA	35855	35000	23	36	108	0.388888888889	1136929
ms1000	NA	NA	74	0.0342846895412	src1	1	NA	NA	11	NA	38510	38000	21	34	216	0.264705882353	920089
ms1000	NA	NA	75	0.0342846895412	src1	2	NA	NA	11	NA	38510	38000	21	34	216	0.264705882353	920089
ms101	NA	NA	76	0.134710311351	src1	2	NA	NA	11	NA	17570	17000	19	36	216	0.222222222222	2239783
ms101	NA	NA	77	0.14976934145	src1	2	NA	NA	11	NA	18980	18000	17	35	216	0.2	2306005
ms101	NA	NA	78	0.064421763345	src1	2	NA	NA	16	NA	31940	31000	24	38	108	0.236842105263	1382746
ms101	NA	NA	79	0.0699752545851	src1	1	NA	NA	20	NA	42745	42000	35	66	216	0.212121212121	1079795
ms101	NA	NA	80	0.0402398725002	src1	2	NA	NA	26	NA	21560	21000	43	58	108	0.396551724138	111058
ms101	NA	NA	81	0.000208613166586	src1	2	NA	NA	19	NA	46735	46000	56	79	216	0.46835443038	743001
ms101	NA	NA	82	0.0281389346162	src1	1	NA	NA	24	NA	48095	48000	41	72	108	0.25	500551
ms101	NA	NA	83	0.264416678914	src1	2	NA	NA	12	NA	41335	41000	28	59	108	0.135593220339	993397
ms102	NA	NA	84	0.0942791107818	src1	2	NA	NA	22	NA	45055	45000	38	70	108	0.192857142857	993411
ms102	NA	NA	85	0.0110813931226	src1	2	NA	NA	15	NA	49090	49000	56	84	108	0.297619047619	172360
ms102	NA	NA	86	0.122337225586	src1	2	NA	NA	22	NA	39550	39000	35	65	108	0.184615384615	1216775
ms102	NA	NA	87	0.436824651849	src1	1	NA	NA	21	NA	35590	35000	32	71	108	0.0985915492958	1344028
ms102	NA	NA	88	0.00138286826785	src1	1	NA	NA	18	NA	35195	35000	29	48	216	0.427083333333	1326228
ms102	NA	NA	89	0.00420983349355	src1	2	NA	NA	15	NA	34370	34000	35	54	216	0.37962962963	1346133
ms102	NA	NA	90	0.00676680934783	src1	1	NA	NA	17	NA	46065	46000	49	85	216	0.317647058824	940324
ms102	NA	NA	91	0.00676680934783	src1	2	NA	NA	17	NA	46065	46000	49	85	216	0.317647058824	940324
ms102	NA	NA	92	0.127927699196	src1	2	NA	NA	33	NA	48580	48000	65	120	108	0.2	204810
ms103	NA	NA	93	0.0968221178893	src1	1	NA	NA	12	NA	35000	35000	26	56	216	0.205357142857	1268800
ms103	NA	NA	94	0.0968221178893	src1	2	NA	NA	12	NA	35000	35000	26	56	216	0.205357142857	1268800
ms103	NA	NA	95	0.0529627801255	src1	2	NA	NA	17	NA	47000	47000	37	75	216	0.22	737347
ms103	NA	NA	96	0.0392339371873	src1	1	NA	NA	18	NA	36705	36000	28	43	216	0.255813953488	1217236
ms103	NA	NA	97	0.0392339371873	src1	2	NA	NA	18	NA	36705	36000	28	43	216	0.255813953488	1217236
ms103	NA	NA	98	0.00949521500976	src1	1	NA	NA	39	NA	34030	34000	55	78	108	0.384615384615	254127
ms103	NA	NA	99	0.00192352434711	src1	2	NA	NA	12	NA	45820	45000	27	36	108	0.388888888889	674802
ms103	NA	NA	100	0.138010564413	src1	2	NA	NA	28	NA	42940	42000	46	83	108	0.180722891566	1073982
ms104	NA	NA	101	0.00351918673903	src1	1	NA	NA	38	NA	24320	24000	38	48	108	0.479166666667	571722
ms104	NA	NA	102	0.00792914173831	src1	1	NA	NA	15	NA	25545	25000	38	55	216	0.418181818182	688472
ms104	NA	NA	103	0.0100354152186	src1	2	NA	NA	15	NA	25545	25000	39	56	216	0.410714285714	604259
ms104	NA	NA	104	0.112125495356	src1	1	NA	NA	23	NA	45435	45000	49	87	108	0.189655172414	972784
ms104	NA	NA	105	0.0265332451085	src1	1	NA	NA	24	NA	22805	22000	29	49	216	0.34693877551	1352604
ms104	NA	NA	106	0.0658612277412	src1	2	NA	NA	22	NA	44385	44000	59	93	108	0.236559139785	602569
ms104	NA	NA	107	0.066109486352	src1	2	NA	NA	12	NA	39430	39000	62	86	108	0.267441860465	237983
ms104	NA	NA	108	0.0765313194317	src1	1	NA	NA	16	NA	43390	43000	32	62	216	0.209677419355	981179
ms105	NA	NA	109	0.0111805818194	src1	2	NA	NA	14	NA	19830	19000	17	30	108	0.4	2236913
ms105	NA	NA	110	0.324709736625	src1	1	NA	NA	18	NA	47425	47000	57	106	108	0.132075471698	638557
ms105	NA	NA	111	0.00834209619078	src1	2	NA	NA	13	NA	46415	46000	48	81	108	0.308641975309	925306
